DEBUG:root:training
DEBUG:root:epoch 181, test error 6.605556 %
DEBUG:root:epoch 182, test error 6.311111 %
DEBUG:root:epoch 183, test error 6.316667 %
DEBUG:root:epoch 184, test error 6.350000 %
DEBUG:root:epoch 185, test error 6.327778 %
DEBUG:root:epoch 186, test error 6.550000 %
DEBUG:root:epoch 187, test error 6.472222 %
DEBUG:root:epoch 188, test error 6.416667 %
DEBUG:root:epoch 189, test error 6.483333 %
DEBUG:root:epoch 190, test error 6.288889 %
DEBUG:root:epoch 191, test error 6.488889 %
DEBUG:root:epoch 192, test error 6.266667 %
DEBUG:root:epoch 193, test error 6.466667 %
DEBUG:root:epoch 194, test error 6.294444 %
DEBUG:root:epoch 195, test error 6.600000 %
DEBUG:root:epoch 196, test error 6.283333 %
DEBUG:root:epoch 197, test error 6.538889 %
DEBUG:root:epoch 198, test error 6.266667 %
DEBUG:root:epoch 199, test error 6.427778 %
DEBUG:root:epoch 200, test error 6.233333 %
DEBUG:root:epoch 201, test error 6.322222 %
DEBUG:root:epoch 202, test error 6.477778 %
DEBUG:root:epoch 203, test error 6.722222 %
DEBUG:root:epoch 204, test error 6.444444 %
DEBUG:root:epoch 205, test error 6.438889 %
DEBUG:root:epoch 206, test error 6.205556 %
DEBUG:root:epoch 207, test error 6.455556 %
DEBUG:root:epoch 208, test error 6.377778 %
DEBUG:root:epoch 209, test error 6.550000 %
DEBUG:root:epoch 210, test error 6.466667 %
DEBUG:root:epoch 211, test error 6.483333 %
DEBUG:root:epoch 212, test error 6.466667 %
DEBUG:root:epoch 213, test error 6.483333 %
DEBUG:root:epoch 214, test error 6.483333 %
DEBUG:root:epoch 215, test error 6.550000 %
DEBUG:root:epoch 216, test error 6.383333 %
DEBUG:root:epoch 217, test error 6.277778 %
DEBUG:root:epoch 218, test error 6.594444 %
DEBUG:root:epoch 219, test error 6.327778 %
DEBUG:root:epoch 220, test error 6.422222 %
DEBUG:root:epoch 221, test error 6.388889 %
DEBUG:root:epoch 222, test error 6.672222 %
DEBUG:root:epoch 223, test error 6.216667 %
DEBUG:root:epoch 224, test error 6.350000 %
DEBUG:root:epoch 225, test error 6.316667 %
DEBUG:root:epoch 226, test error 6.188889 %
DEBUG:root:epoch 227, test error 6.427778 %
DEBUG:root:epoch 228, test error 6.577778 %
DEBUG:root:epoch 229, test error 6.361111 %
DEBUG:root:epoch 230, test error 6.244444 %
DEBUG:root:epoch 231, test error 6.272222 %
DEBUG:root:epoch 232, test error 6.111111 %
DEBUG:root:epoch 233, test error 6.361111 %
DEBUG:root:epoch 234, test error 6.188889 %
DEBUG:root:epoch 235, test error 6.244444 %
DEBUG:root:epoch 236, test error 6.500000 %
DEBUG:root:epoch 237, test error 6.338889 %
DEBUG:root:epoch 238, test error 6.544444 %
DEBUG:root:epoch 239, test error 6.438889 %
DEBUG:root:epoch 240, test error 6.361111 %
DEBUG:root:epoch 241, test error 6.311111 %
DEBUG:root:epoch 242, test error 6.444444 %
DEBUG:root:epoch 243, test error 6.566667 %
DEBUG:root:epoch 244, test error 6.255556 %
DEBUG:root:epoch 245, test error 6.538889 %
DEBUG:root:epoch 246, test error 6.344444 %
DEBUG:root:epoch 247, test error 6.455556 %
DEBUG:root:epoch 248, test error 6.338889 %
DEBUG:root:epoch 249, test error 6.583333 %
DEBUG:root:epoch 250, test error 6.266667 %
DEBUG:root:epoch 251, test error 6.383333 %
DEBUG:root:epoch 252, test error 6.583333 %
DEBUG:root:epoch 253, test error 6.466667 %
DEBUG:root:epoch 254, test error 6.283333 %
DEBUG:root:epoch 255, test error 6.283333 %
DEBUG:root:epoch 256, test error 6.288889 %
DEBUG:root:epoch 257, test error 6.522222 %
DEBUG:root:epoch 258, test error 6.316667 %
DEBUG:root:epoch 259, test error 6.261111 %
DEBUG:root:epoch 260, test error 6.383333 %
DEBUG:root:epoch 261, test error 6.155556 %
DEBUG:root:epoch 262, test error 6.305556 %
DEBUG:root:epoch 263, test error 6.422222 %
DEBUG:root:epoch 264, test error 6.533333 %
DEBUG:root:epoch 265, test error 6.433333 %
DEBUG:root:epoch 266, test error 6.205556 %
DEBUG:root:epoch 267, test error 6.261111 %
DEBUG:root:epoch 268, test error 6.616667 %
DEBUG:root:epoch 269, test error 6.333333 %
DEBUG:root:epoch 270, test error 6.405556 %
DEBUG:root:epoch 271, test error 6.422222 %
DEBUG:root:epoch 272, test error 6.433333 %
DEBUG:root:epoch 273, test error 6.316667 %
DEBUG:root:epoch 274, test error 6.444444 %
DEBUG:root:epoch 275, test error 6.361111 %
DEBUG:root:epoch 276, test error 6.261111 %
DEBUG:root:epoch 277, test error 6.400000 %
DEBUG:root:epoch 278, test error 6.483333 %
DEBUG:root:epoch 279, test error 6.177778 %
